cluster,ID,Source.Name,Capacity (MW),Plant name,Operator,Operator owners / investors,Capacity of plant,Fuels used,Status of project ,Expected operation start date,Status,Source.Name,Number,Lat,Lon,stack.heigth..m,base.elevation,diameter,exit.velocity,exit.temperature..K,downwash,SO2,SO4,NO,NO2,HNO3,NO3,PM15,PM10,PPM25,Hg0,RGM,Hgp
17,JP19,"Fukushima, IGCC verification test plant, Nakoso",540,大型石炭ガス化複合発電設備実証計画（勿来）,勿来 IGCC パワー合同会社,三菱商事パワー（40％）、 三菱重工業（40％）、 三菱電機（10％）、 東京電力（5%）、 常磐共同火力（５％）,54.0 [万kW],石炭,建設中,2020年9月,Assessment processing,"Fukushima, IGCC verification test plant, Nakoso",1,36.911,140.8141,80,136.5131852,6.5,31,393.15,0,932.8407,0,378.4826,19.9201,0,0,NA,NA,79.7027,30.8266,19.1287,0.5549
18,JP20,"Fukushima, IGCC verification test plant, Hirono",540,大型石炭ガス化複合発電設備実証計画（広野）,広野 IGCC パワー合同会社,三菱商事（40％）、 三菱重工業（40％）、 三菱電機（10％）、 東京電力（10％）,54.0 [万kW],石炭,建設中,2021年9月,Assessment processing,"Fukushima, IGCC verification test plant, Hirono",1,37.2329,141.0143,80,53.32413197,6.5,31,393.15,0,932.8407,0,378.4826,19.9201,0,0,NA,NA,79.7027,30.8266,19.1287,0.5549
19,JP21,"Akita, Noshiro No.3",600,能代3号機,東北電力,東北電力,60.0 [万kW],石炭,建設中,2020年6月,Planning (with official announcement),"Akita, Noshiro No.3",1,40.1894,139.9954,180,104.0537021,7.1667,29.0278,358.7056,0,1926.5188,0,1175.9995,61.8947,0,0,NA,NA,69.3067,13.4029,16.6336,0.2413
20,JP22,"Nagasaki, Matsuura No.2",1000,松浦発電所2号機,九州電力,九州電力,100.0 [万kW],石炭,建設中,2020年6月,Under construction,"Nagasaki, Matsuura No.2",1,33.3498,129.6838,175.7895,0,7.1667,29.0278,358.7056,0,2864.0894,0,1636.3568,86.124,0,0,NA,NA,116.5287,22.5349,27.9669,0.4056
21,JP23,"Hiroshima, Takehara New No.1",600,竹原発電所新1号機,電源開発,電源開発,60.0 [万kW],石炭,建設中,2020年6月,Under construction,"Hiroshima, Takehara New No.1",1,34.3375,132.9602,200,179.1323258,7.1667,35.9,363.15,0,730.0492,0,540.6894,28.4573,0,0,NA,NA,48.5147,13.4029,11.6435,0.2413
22,JP25,"Kanagawa, Yokosuka Power Plant #1",650,横須賀火力発電所新1号機,JERA,東京電力フュエル＆パワー株式会社,65.0 [万kW],石炭,アセスメント実施中,2023年,Planning (without official announcement),"Kanagawa, Yokosuka Power Plant #1",1,35.214,139.72,180,32.90890917,7.1667,31.5,363.15,0,588.0952,0,446.0688,23.4773,0,0,NA,NA,38.1187,14.7432,9.1485,0.2654
22,JP49,"Kanagawa, Yokosuka Power Plant #2",650,横須賀火力発電所新2号機,JERA,東京電力フュエル＆パワー株式会社,65.0 [万kW],石炭,アセスメント実施中,2024年,Planning (without official announcement),"Kanagawa, Yokosuka Power Plant #2",1,35.214,139.72,180,32.90890917,7.1667,31.5,363.15,0,588.0952,0,446.0688,23.4773,0,0,NA,NA,38.1187,14.7432,9.1485,0.2654
23,JP28,"Chiba, Soga",1070,（仮）蘇我火力発電所,千葉パワー株式会社,中国電力・ＪＦＥスチール,107.0 [万kW],石炭,アセスメント実施中,2024年,Planning (without official announcement),"Chiba, Soga",1,35.5775,140.0925,175.7895,25.93709115,7.54,31,360.15,0,1358.7027,0,1013.7926,53.3575,0,0,NA,NA,65.8414,25.4655,15.8019,0.4584
24,JP29,"Ibaraki, Hitachinaka Kyodo No.1",650,常陸那珂共同火力発電所１号機,常陸那珂ジェネレーション,JERA,65.0 [万kW],石炭,建設中,2020年度,Assessment processing,"Ibaraki, Hitachinaka Kyodo No.1",1,36.4363,140.614,180,26.96016914,7.1667,31.5,363.15,0,892.2824,0,419.0343,22.0544,0,0,NA,NA,34.6534,13.4029,8.3168,0.2413
25,JP31,"Hyogo, Takasago New-No.1",600,高砂発電所新1号機,電源開発,電源開発,60.0 [万kW],石炭,アセスメント実施中,2021年度,Assessment processing,"Hyogo, Takasago New-No.1",1,34.7536,134.7621,180,30.77875976,7.1667,20,343.15,0,750.3284,0,608.2756,32.0145,0,0,NA,NA,55.4454,13.4029,13.3069,0.2413
25,JP43,"Hyogo, Takasago New-No.2",600,高砂発電所新2号機,電源開発,電源開発,60.0 [万kW],石炭,アセスメント実施中,2027年度,Assessment processing,"Hyogo, Takasago New-No.2",1,34.7527,134.7626,180,30.40648281,7.1667,20,343.15,0,750.3284,0,608.2756,32.0145,0,0,NA,NA,55.4454,13.4029,13.3069,0.2413
26,JP32,"Hyogo, Kobe Works New-No.1",650,神戸製鉄所火力発電所（仮） 新設1号機,神戸製鋼所,神戸製鋼,65.0 [万kW],石炭,アセスメント実施中,2021年,Assessment processing,"Hyogo, Kobe Works New-No.1",1,34.7053,135.2521,150,207.11929,7.1667,30,363.15,0,527.2578,0,567.7239,29.8802,0,0,NA,NA,38.1187,14.7432,9.1485,0.2654
26,JP35,"Hyogo, Kobe Works New-No.2",650,神戸製鉄所火力発電所（仮） 新設2号機,神戸製鋼所,神戸製鋼,65.0 [万kW],石炭,アセスメント実施中,2022年,Assessment processing,"Hyogo, Kobe Works New-No.2",1,34.7056,135.2482,150,213.9509508,7.1667,30,363.15,0,527.2578,0,567.7239,29.8802,0,0,NA,NA,38.1187,14.7432,9.1485,0.2654
27,JP33,"Shimane, Misumi No.2",1000,三隅発電所2号機,中国電力,中国電力,100.0 [万kW],石炭,アセスメント実施中,2022年11月,Planning (with official announcement),"Shimane, Misumi No.2",1,34.7786,131.9192,200,32.4653139,7.1667,34.3,363.15,0,1378.9819,0,919.172,48.3775,0,0,NA,NA,72.7721,23.455,17.4653,0.4222
28,JP34,"Ehime, Saijo New No.1",500,西条発電所新1号機,四国電力,四国電力,50.0 [万kW],石炭,アセスメント実施中,2023年3月,Planning (with official announcement),"Ehime, Saijo New No.1",1,33.9322,133.1689,180,77.32385628,6.5,30,363.15,0,851.7241,0,554.2066,29.1688,0,0,NA,NA,31.188,12.0626,7.4851,0.2171
29,JP36,"Yamaguchi, Nishiokinoyama (tentative) No.1",600,西沖の山発電所（仮）1号機,山口宇部パワー株式会社,電源開発（45％）、 大阪ガス（45％）、 宇部興産（10％）,60.0 [万kW],石炭,アセスメント実施中,2023年,Assessment processing,"Yamaguchi, Nishiokinoyama (tentative) No.1",1,33.9509,131.2027,160,73.20085272,7.1667,20,343.15,0,730.0492,0,594.7583,31.3031,0,0,NA,NA,55.4454,13.4029,13.3069,0.2413
29,JP41,"Yamaguchi, Nishiokinoyama (tentative) No.2",600,西沖の山発電所（仮）2号機,山口宇部パワー株式会社,電源開発（45％）、 大阪ガス（45％）、 宇部興産（10％）,60.0 [万kW],石炭,アセスメント実施中,2025年,Assessment processing,"Yamaguchi, Nishiokinoyama (tentative) No.2",1,33.9498,131.2012,160,72.39303938,7.1667,20,343.15,0,730.0492,0,594.7583,31.3031,0,0,NA,NA,55.4454,13.4029,13.3069,0.2413
30,JP40,"Chiba, Chiba Sodegaura No.1 (tentative)",1000,千葉袖ケ浦火力発電所1号機（仮）,千葉袖ケ浦エナジー,九州電力、 出光興産、 東京ガス,100.0 [万kW],バイオマス混焼を検討中,アセスメント実施中,2025年,Assessment processing,"Chiba, Chiba Sodegaura No.1 (tentative)",1,35.4534,139.9736,200,17.65597333,7.25,30,363.15,0,1419.5401,0,675.8618,35.5717,0,0,NA,NA,69.3067,26.8058,16.6336,0.4825
30,JP42,"Chiba, Chiba Sodegaura No.2 (tentative)",1000,千葉袖ケ浦火力発電所2号機（仮）,千葉袖ケ浦エナジー,九州電力、 出光興産、 東京ガス,100.0 [万kW],バイオマス混焼を検討中,アセスメント実施中,2026年,Assessment processing,"Chiba, Chiba Sodegaura No.2 (tentative)",1,35.4744,139.982,200,18.89750423,7.25,30,363.15,0,1419.5401,0,675.8618,35.5717,0,0,NA,NA,69.3067,26.8058,16.6336,0.4825
